severity,loss,acc
1,2.5726549097591227,0.32660332541567694
2,2.601072456000442,0.32114014251781475
3,2.5938981453766448,0.32517814726840855
4,2.5740658430853065,0.3204275534441805
5,2.5827840759370972,0.32557403008709423
